pubmed - EGFR
year,count
2020,1
2019,4546
2018,6584
2017,6648
2016,6561
2015,6468
2014,6039
2013,5874
2012,5409
2011,4578
2010,4132
2009,3613
2008,3182
2007,2879
2006,2474
2005,2289
2004,1918
2003,1654
2002,1388
2001,1250
2000,1087
1999,1001
1998,1001
1997,929
1996,916
1995,848
1994,887
1993,814
1992,785
1991,634
1990,585
1989,495
1988,353
1987,262
1986,264
1985,224
1984,160
1983,105
1982,86
1981,54
1980,24

