pubmed - TP53
year,count
2020,1
2019,1381
2018,1850
2017,1855
2016,1766
2015,1664
2014,1481
2013,1218
2012,1135
2011,968
2010,712
2009,687
2008,592
2007,467
2006,379
2005,261
2004,221
2003,234
2002,177
2001,171
2000,164
1999,140
1998,115
1997,120
1996,81
1995,70
1994,54
1993,44
1992,16
1991,11
1990,3
1988,1

