pubmed - PTEN
year,count
2019,1206
2018,1551
2017,1445
2016,1340
2015,1444
2014,1309
2013,1191
2012,1007
2011,859
2010,811
2009,725
2008,617
2007,555
2006,503
2005,419
2004,364
2003,287
2002,240
2001,233
2000,186
1999,127
1998,117
1997,25
1994,1
1985,1
1980,1

